City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Felanitx,ES,77.13,few clouds,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
8,Xinxiang,CN,85.46,clear sky,35.3089,113.8672,Guoyu Holiday Inn
12,Butaritari,KI,83.95,light rain,3.0707,172.7902,Isles Sunset Lodge
14,Atuona,PF,78.39,few clouds,-9.8,-139.0333,Villa Enata
17,Bilma,NE,88.36,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
18,Kapaa,US,85.98,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
23,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
25,Gat,IL,77.92,few clouds,31.61,34.7642,OlusHome
30,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
31,Puerto Escondido,MX,82.69,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
33,Ormara,PK,82.15,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
36,Mount Pleasant,US,79.0,scattered clouds,32.7941,-79.8626,Best Western Patriots Point
42,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
46,Kandrian,PG,84.36,light rain,-6.2167,149.55,Kandrian Station
47,Surt,LY,78.49,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
48,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
51,Nabire,ID,77.9,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
54,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
55,Saint Anthony,US,84.22,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
57,Yarada,IN,82.72,mist,17.65,83.2667,Jeevan
60,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
61,Noumea,NC,82.38,clear sky,-22.2763,166.4572,Hôtel Le Lagon
63,Changji,CN,88.59,clear sky,44.0167,87.3167,Lvye Holiday Resort
66,Kalmunai,LK,81.01,overcast clouds,7.4167,81.8167,VS Villa
68,Lexington,US,79.92,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
69,Half Moon Bay,US,87.75,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
70,Kuah,MY,82.38,moderate rain,6.3265,99.8432,Azio Hotel
74,Victoria,HK,89.33,scattered clouds,22.2855,114.1577,Mini Hotel Central
77,Katsuura,JP,86.14,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
78,Port Hedland,AU,77.05,broken clouds,-20.3167,118.5667,The Esplanade Hotel
80,Langham,CA,80.44,scattered clouds,52.3668,-106.9679,Shady Rest Motel
81,Yongchang,CN,76.59,light rain,30.0381,119.7317,Xinxin Honglou Hotel
87,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
88,Lompoc,US,81.12,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
93,Dingle,PH,85.64,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
94,Lubao,PH,78.87,moderate rain,14.9167,120.55,Hacienda Gracia
97,Gilgit,PK,87.71,few clouds,35.9221,74.3087,Tourist Hamlet Gilgit
107,Manikling,PH,87.71,overcast clouds,6.8791,126.0606,Jarden Beach Resort
111,Galveston,US,89.71,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
118,San Policarpo,PH,89.51,overcast clouds,12.1791,125.5072,JM Lodge
119,Kingman,US,89.08,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
129,Hithadhoo,MV,81.84,overcast clouds,-0.6,73.0833,Scoop Guest House
131,Lingao,CN,85.96,scattered clouds,19.9103,109.6859,Lingao Ditai Inn
132,Talladega,US,82.31,mist,33.4359,-86.1058,"Holiday Inn Express & Suites Talladega, an IHG Hotel"
133,Road Town,VG,80.2,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
134,Bardiyah,LY,76.01,clear sky,31.7561,25.0865,بورتو بردية
135,The Valley,AI,82.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
136,Yerbogachen,RU,76.84,broken clouds,61.2767,108.0108,
140,Taiyuan,CN,78.66,clear sky,37.8694,112.5603,Jinjiang Inn
142,Araouane,ML,88.32,scattered clouds,18.9048,-3.5265,
145,Umm Kaddadah,SD,80.94,overcast clouds,13.6017,26.6876,
154,Kloulklubed,PW,84.18,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
155,Kumluca,TR,81.19,clear sky,36.3703,30.2869,TurkuazKöy
156,Alofi,NU,82.29,few clouds,-19.0595,-169.9187,Taloa Heights
157,Avera,US,82.71,overcast clouds,33.194,-82.5271,
159,Filingue,NE,83.95,few clouds,14.3521,3.3168,
167,Labuhan,ID,81.28,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
168,Najran,SA,79.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
174,San Patricio,US,88.48,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
176,Lorengau,PG,84.85,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
177,Rossland,CA,84.7,clear sky,49.0831,-117.8022,Prestige Mountain Resort Rossland
179,Sur,OM,88.18,broken clouds,22.5667,59.5289,Sur Plaza Hotel
183,Mareeba,AU,79.45,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
184,North Platte,US,84.99,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
189,Tyler,US,87.85,clear sky,32.3513,-95.3011,The Woldert-Spence Manor
195,Ati,TD,84.27,overcast clouds,13.2154,18.3353,
197,Emmaus,US,77.65,clear sky,40.5395,-75.4968,Howard Johnson by Wyndham Allentown Dorney Hotel & Suites
198,Sidi Ali,DZ,81.37,overcast clouds,36.0998,0.4206,الغابة الترفيهية بورحمة
199,Saint George,US,84.54,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
200,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
201,Lugovoy,KZ,84.29,clear sky,42.9472,72.7644,Ж.Д Вокзал Луговая
206,Aitape,PG,75.65,light rain,-3.1374,142.3475,
208,Juybar,IR,80.76,broken clouds,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
209,Matara,LK,79.2,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
210,Sabha,LY,77.49,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
211,Rumoi,JP,83.39,broken clouds,43.9344,141.6428,Business Hotel R-Inn
214,Puqi,CN,85.32,clear sky,29.7167,113.8833,Ramada Plaza Chibi
216,San Carlos Del Zulia,VE,81.03,overcast clouds,9.0,-71.9135,Hotel El Manantial
220,Minot,US,85.19,clear sky,48.2325,-101.2963,Noble Inn
222,Shwebo,MM,81.77,light rain,22.5667,95.7,MOON SHINE Guest House
225,Balod,IN,78.44,overcast clouds,20.73,81.2047,CJM Bunglow
227,Haimen,CN,89.49,few clouds,23.1935,116.6142,Jinghao Business Hotel
228,Anloga,GH,75.42,overcast clouds,5.7947,0.8973,Pin Drop Hotel
231,Fukue,JP,80.96,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
232,Mehnagar,IN,82.42,clear sky,25.8833,83.1167,Shiv kripa sweets
235,Elizabeth City,US,77.05,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
236,Manbij,SY,75.97,clear sky,36.5281,37.9549,Manbej City Hotel
237,Rayong,TH,83.95,light rain,12.8333,101.4333,Suan Palm Garden View Hotel
239,Patnanungan,PH,83.66,overcast clouds,14.7833,122.1833,Villa Caesar
240,Ajdabiya,LY,75.81,clear sky,30.7554,20.2263,Almadina Hotel
242,Sarakhs,IR,77.14,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
247,Puro,PH,84.63,overcast clouds,12.4841,123.3827,
250,Kirakira,SB,84.22,scattered clouds,-10.4544,161.9205,SanBiz Lodge
253,West Bay,KY,84.27,few clouds,19.3667,-81.4167,Calypso Cove
260,Palu,ID,88.0,scattered clouds,-0.8917,119.8707,Hotel Santika Palu
263,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
264,Kavieng,PG,84.24,few clouds,-2.5744,150.7967,Nusa Island Retreat
