City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,37.06,87,75,4.61,broken clouds
1,Felanitx,ES,39.4696,3.1483,77.13,86,16,7.36,few clouds
2,Hasaki,JP,35.7333,140.8333,90.28,75,22,12.15,few clouds
3,Sitka,US,57.0531,-135.33,57.09,82,75,12.66,light rain
4,Touros,BR,-5.1989,-35.4608,74.3,80,0,15.28,clear sky
5,Hermanus,ZA,-34.4187,19.2345,52.9,51,100,5.37,overcast clouds
6,Upernavik,GL,72.7868,-56.1549,39.4,85,6,3.11,clear sky
7,Coquimbo,CL,-29.9533,-71.3436,51.53,93,0,4.61,clear sky
8,Xinxiang,CN,35.3089,113.8672,85.46,66,2,1.99,clear sky
9,Bluff,NZ,-46.6,168.3333,50.81,69,100,9.57,overcast clouds
10,Dikson,RU,73.5069,80.5464,37.11,98,79,8.95,broken clouds
11,Rikitea,PF,-23.1203,-134.9692,69.37,55,0,1.03,clear sky
12,Butaritari,KI,3.0707,172.7902,83.95,72,13,12.24,light rain
13,East London,ZA,-33.0153,27.9116,51.39,55,0,9.19,clear sky
14,Atuona,PF,-9.8,-139.0333,78.39,70,16,17.27,few clouds
15,Punta Arenas,CL,-53.15,-70.9167,39.31,81,75,14.97,broken clouds
16,Mataura,NZ,-46.1927,168.8643,50.49,78,92,4.32,overcast clouds
17,Bilma,NE,18.6853,12.9164,88.36,43,94,5.93,overcast clouds
18,Kapaa,US,22.0752,-159.319,85.98,79,90,4.0,light rain
19,Albany,US,42.6001,-73.9662,72.25,67,100,1.01,overcast clouds
20,Busselton,AU,-33.65,115.3333,62.04,67,94,18.52,overcast clouds
21,Cape Town,ZA,-33.9258,18.4232,53.11,81,100,2.3,fog
22,Port Elizabeth,ZA,-33.918,25.5701,44.89,76,0,2.3,clear sky
23,Hambantota,LK,6.1241,81.1185,79.14,100,75,11.5,broken clouds
24,Chinhoyi,ZW,-17.3667,30.2,46.35,64,4,6.69,clear sky
25,Gat,IL,31.61,34.7642,77.92,100,15,0.47,few clouds
26,Leningradskiy,RU,69.3833,178.4167,36.61,96,100,6.78,overcast clouds
27,Provideniya,RU,64.3833,-173.3,47.89,98,100,13.06,light rain
28,Bredasdorp,ZA,-34.5322,20.0403,40.32,93,97,5.75,overcast clouds
29,Vadso,NO,70.0744,29.7487,47.28,80,100,24.07,overcast clouds
30,Hilo,US,19.7297,-155.09,80.33,85,90,8.05,overcast clouds
31,Puerto Escondido,MX,15.85,-97.0667,82.69,83,100,6.46,overcast clouds
32,Chuy,UY,-33.6971,-53.4616,56.41,82,100,6.6,overcast clouds
33,Ormara,PK,25.2088,64.6357,82.15,84,100,9.73,overcast clouds
34,Castro,BR,-24.7911,-50.0119,52.27,70,0,2.77,clear sky
35,Westerland,DE,54.9079,8.3033,68.02,82,90,18.41,overcast clouds
36,Mount Pleasant,US,32.7941,-79.8626,79.0,80,40,3.0,scattered clouds
37,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,12.66,broken clouds
38,Sorland,NO,67.667,12.6934,52.61,94,100,13.58,overcast clouds
39,Hobart,AU,-42.8794,147.3294,47.26,72,40,7.0,scattered clouds
40,Ihosy,MG,-22.4,46.1167,51.69,91,38,9.17,scattered clouds
41,Beziers,FR,43.3476,3.219,74.48,60,0,4.61,clear sky
42,Kahului,US,20.8947,-156.47,87.82,78,40,26.46,scattered clouds
43,Artsyz,UA,45.9919,29.4182,65.88,63,0,7.47,clear sky
44,Caravelas,BR,-17.7125,-39.2481,68.41,67,3,5.77,clear sky
