City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-07-20 17:20:58,42.6001,-73.9662,84.61,67,0,1.01
1,Jamestown,US,2021-07-20 17:18:20,42.097,-79.2353,83.08,65,20,4.0
2,Beringovskiy,RU,2021-07-20 17:20:58,63.05,179.3167,44.44,91,100,13.6
3,Xiaoweizhai,CN,2021-07-20 17:20:58,26.1903,107.5125,70.97,95,76,1.66
4,Rikitea,PF,2021-07-20 17:17:21,-23.1203,-134.9692,70.52,69,90,24.74
5,Geraldton,AU,2021-07-20 17:20:59,-28.7667,114.6,67.12,82,40,17.27
6,Vao,NC,2021-07-20 17:20:59,-22.6667,167.4833,70.09,83,28,9.31
7,Kibara,TZ,2021-07-20 17:20:59,-2.15,33.45,76.23,51,65,5.77
8,Santa Cruz Do Rio Pardo,BR,2021-07-20 17:21:00,-22.8989,-49.6325,70.72,19,100,7.45
9,Nizhnyaya Tavda,RU,2021-07-20 17:21:00,57.6731,66.1725,66.83,70,91,5.95
10,Fortuna,US,2021-07-20 17:18:46,40.5982,-124.1573,72.19,89,90,1.99
11,Krasnoyarskiy,RU,2021-07-20 17:21:00,51.965,59.8967,72.77,46,32,8.3
12,Bluff,NZ,2021-07-20 17:17:17,-46.6,168.3333,42.8,81,89,12.73
13,Airai,TL,2021-07-20 17:21:01,-8.9266,125.4092,55.67,81,21,3.6
14,Kodiak,US,2021-07-20 17:21:02,57.79,-152.4072,58.51,82,90,8.05
15,Katsuura,JP,2021-07-20 17:21:02,35.1333,140.3,80.11,85,16,4.56
16,Ushuaia,AR,2021-07-20 17:21:02,-54.8,-68.3,37.02,75,75,5.75
17,Yellowknife,CA,2021-07-20 17:16:52,62.456,-114.3525,70.29,61,75,3.44
18,Punta Arenas,CL,2021-07-20 17:20:05,-53.15,-70.9167,41.11,75,20,18.41
19,Nizhniy Kuranakh,RU,2021-07-20 17:21:03,58.8353,125.4869,63.84,95,61,4.99
20,Barrow,US,2021-07-20 17:17:35,71.2906,-156.7887,39.22,93,90,16.11
21,New Norfolk,AU,2021-07-20 17:21:04,-42.7826,147.0587,42.58,78,66,3.0
22,Qaanaaq,GL,2021-07-20 17:21:05,77.484,-69.3632,38.88,90,100,1.23
23,Manokwari,ID,2021-07-20 17:21:05,-0.8667,134.0833,78.71,77,99,3.22
24,Busselton,AU,2021-07-20 17:21:05,-33.65,115.3333,54.05,93,100,12.75
25,Poronaysk,RU,2021-07-20 17:21:06,49.2167,143.1167,54.27,93,27,4.88
26,Arlit,NE,2021-07-20 17:21:06,18.7369,7.3853,97.29,27,16,25.05
27,Mahebourg,MU,2021-07-20 17:21:06,-20.4081,57.7,70.09,88,75,18.41
